,2019.0,2020.0,2021.0,2022.0,2023.0
jockey,0.12193732642816998,0.11227213460555314,0.06845344722629908,0.05476432221525942,0.047513059720003
bra,0.10800725469351434,0.09370555763451727,0.09093739887613297,0.10823953243100604,0.11797946068629006
amante,0.08318696587670356,0.0775752875297998,0.027512699822180065,0.015899625370357003,0.03309001694845836
lounge,0.0628358832331714,0.057947549084933346,0.03462391358952033,0.02752880865184715,0.02687098566481035
melange,0.06069835785381217,0.05593651635843232,0.0338161523610965,0.026282423365907585,0.02521822654925852
enamor,0.05715995475682132,0.04486441888148121,0.05484362198067102,0.07083648789487165,0.06800399234485503
pants,0.043280572003153765,0.03990057165857648,0.027643438849666253,0.023909264009361948,0.03003224012184743
women,0.04233422988733034,0.035855863493144575,0.05455067935671022,0.0714241388449965,0.06255930415736859
black,0.04226273972744718,0.03905125339117641,0.06087536959750074,0.06547875120991387,0.06423355112211988
grey,0.041741492922806725,0.04126338016589479,0.051842861084231244,0.041609876844142316,0.04005944287786805
full,0.03779217976694364,0.03502230545257613,0.014412580928161887,0.00970913703408075,0.015416177484092975
lift,0.036507738060596574,0.033377296448065266,0.016291493180463017,0.011532995681749965,0.01318240667770014
sport,0.034281898380657115,0.03162004338089075,0.017602291302782944,0.015228189363483031,0.013123795602508016
performance,0.033263580853171486,0.03057112973675758,0.015271662697842414,0.011372324470019714,0.011594821435515146
maroon,0.03184394856174248,0.029637185038017357,0.01867348992391021,0.015447339461484211,0.0136276164383839
non,0.02999189939014556,0.027458743699734074,0.012583500918472138,0.009529440462742069,0.010531334691754638
pcsn11,0.027961607459656257,0.02568464309365412,0.012441117370090656,0.009850644277719093,0.010520758723540575
capris,0.027286286833793028,0.025185628574142412,0.011108470295371518,0.009105425048486694,0.010205613381639998
9922,0.02638976700564104,0.0238171790445085,0.0097826234786103,0.007399919771676383,0.009445043700116526
5145,0.026235908666097593,0.023785945724513178,0.010222431275910132,0.00851552984086019,0.00884252686565764
essence,0.025760743608298095,0.02362838168930539,0.009656698255075627,0.006827539881276344,0.009534646035105732
smooth,0.025383301432289337,0.020383528000901093,0.02195538426989513,0.03326713491413468,0.035887943869172934
seamless,0.025206834589497296,0.023421683774650155,0.010111625560613654,0.007042537528896169,0.009518644967531988
chromozome,0.025152448910782492,0.024040684646977607,0.04414924015362622,0.03808271179481597,0.01619134144940707
